3 River Wireless	3rivers.net
ACS Wireless	acswireless.com
Advantage Communications	advantagepaging.com
Airtouch Pagers	myairmail.com
Airtouch Pagers	airtouch.net
Airtouch Pagers	airtouchpaging.com
AlphNow	alphanow.net
Alltel	alltelmessage.com
Alltel PCS	alltel.com
Ameritech Paging	pageapi.com
Ameritech Clearpath	acswireless.com
Andhra Pradesh Airtel	airtelap.com
Arch Pagers (PageNet)	archwireless.net
Arch Pagers (PageNet)	arch.com
AT&T	mms.att.net	att.net
AT&T Pocketnet PCS	mobile.att.net
Beepwear	beepwear.net
BeeLine GSM	beemail.ru
Bell Atlantic	bam.com
Bell Mobility	bellmobility.ca
Bell South (Blackberry)	bellsouthtips.com
Bell South	bellsouth.com
Bell South	blsdcs.net
Bell South	bellsouth.cl
Bell South Mobility	blsdcs.net
Blue Sky Frog	blueskyfrog.com
Bluegrass Cellular	bluecell.com
Boost	myboostmobile.com
BPL mobile	bplmobile.com
Cellular One East Coast	cellone.net
Cellular One South West	swmsg.com
Cellular One PCS	cellone-sf.com
Cellular One	celloneusa.com
Cellular One West	mycellone.com
Cellular South	csouth1.com
Central Vermont Communications	cvcpaging.com
CenturyTel	centurytel.net
Chennai RPG Cellular	rpgmail.net
Chennai Skycell / Airtel	airtelchennai.com
Cincinnati Bell	att.net
Cingular Wireless	mycingular.com
Cingular Wireless	mycingular.net
Claro Wireless	vtexto
Clearnet	clearnet.com
Comcast	textmsg.com
Communication Specialists	comspeco.net
Communication Specialist Companies	comspeco.com
Comviq	comviq.se
Cook Paging	cookmail.com
Corr Wireless Communications	corrwireless.net
Delhi Aritel	airtelmail.com
Delhi Hutch	hutch.co.in
Digi-Page / Page Kansas	hit.net
Dobson Cellular Systems	dobson.net
Dobson-Alex Wireless / Dobson-Cellular One	cellularone.com
DT T-Mobile	t-mobile-sms.de
Dutchtone / Orange-NL	orange.nl
Edge Wireless	edgewireless.com
EMT	emt.ee
Emtel	emtelworld.net
Escotel	escotelmobile.com
Fido	fido.ca
Galaxy Corporation	sendabeep.net
GCS Paging	webpager.us
Goa BPLMobil	bplmobile.com
Golden Telecom	goldentele.com
GrayLink / Porta-Phone	porta-phone.com
GTE	airmessage.net	
Gujarat Celforce	celforce.com
Houston Cellular	houstoncellular.net
Idea Cellular	ideacellular.net
infopage Systems	infopagesystems.com
Inland Cellular Telephone	inlandlink.com
JSM Tele-Page	jsmtel.com
Kerala Escotel	escotelmobile.com
Kolkata Airtel	airtelkol.com
Kyivstar	lmt.lv
Lauttamus Communication	e-page.net
LMT	lmt.lv
Maharashtra BPL Mobile	bplmobile.com
Maharashtra Idea Cellular	ideacellular.net
Manitoba Telecom Systems	mtsmobility.com
MCI Phone	mci.com
MCI	pagemci.com
Meteor	mymeteor.ie
Metrocall	metrocall.com
Metrocall 2-way	my2way.com
Metro PCS	mymetropcs.com	
Metro PCS	sms.us
Microcell	fido.ca
Midwest Wireless	clearlydigital.com
MiWorld	m1.com.sg
Mobilecom PA	mobilcom.net
Mobilecomm	mobilecomm.net
Mobileone	m1.com.sg
Mobilfone	mobilfone.com
Mobility Bermuda	ml.bm
Mobistar Belgium	mobistar.be
Mobitel Tanzania	co.tz
Mobtel Srbija	mobtel.co.yu
Morris Wireless	beepone.net
Motient	isp.com
Movistar	movistar.net
Mumbai BPL Mobile	bplmobile.com
Mumbai Orange	orangemail.co.in
NBTel	informe.ca
Netcom	netcom.no
Nextel	nextel.com
Nextel	nextel.com.br
NPI Wireless	npiwireless.com
Ntelos	ntelos.com
O2	o2.co.uk
O2 (M-mail)	mmail.co.uk
Omnipoint	omnipoint.com
Omnipoint	omnipointpcs.com
One Connect Austria	onemail.at
OnlineBeep	onlinebeep.net
Orange	orange.net
Orange Mumbai	orangemail.co.in
Orange – NL / Dutchtone	orange.nl
Oskar	mujoskar.cz
P&T Luxembourg	luxgsm.lu
Pacific Bell	pacbellpcs.net
PageMart	pagemart.net
PageMart Advanced /2way	airmessage.net
PageMart Canada	pmcl.net
PageNet Canada	pagenet.ca
PageOne NorthWest	page1nw.com
PCS One	pcsone.net
Pioneer / Enid Cellular	pioneerenidcellular.com
PlusGSM	plusgsm.pl
